iter	Passed	Remaining
0	147	147595
1	148	74109
2	149	49623
3	150	37358
4	151	30118
5	152	25264
6	153	21757
7	154	19113
8	154	17055
9	155	15410
10	156	14066
11	157	12942
12	158	11997
13	158	11181
14	159	10473
15	160	9857
16	161	9327
17	162	8868
18	163	8441
19	164	8049
20	165	7699
21	165	7378
22	166	7083
23	167	6812
24	168	6562
25	169	6332
26	169	6117
27	170	5919
28	171	5738
29	172	5566
30	172	5403
31	173	5252
32	174	5111
33	175	4978
34	176	4855
35	177	4752
36	178	4643
37	179	4535
38	179	4431
39	180	4333
40	181	4239
41	181	4150
42	182	4066
43	183	3984
44	184	3907
45	184	3834
46	185	3763
47	186	3695
48	187	3629
49	188	3578
50	189	3522
51	190	3467
52	191	3413
53	192	3370
54	193	3323
55	194	3283
56	195	3238
57	196	3194
58	198	3163
59	199	3126
60	200	3088
61	201	3054
62	203	3022
63	204	2986
64	205	2953
65	206	2921
66	207	2888
67	208	2858
68	210	2835
69	211	2806
70	213	2792
71	214	2766
72	215	2741
73	216	2713
74	217	2685
75	218	2657
76	219	2630
77	220	2606
78	221	2581
79	222	2558
80	223	2534
81	224	2510
82	224	2484
83	226	2468
84	228	2455
85	230	2445
86	231	2425
87	231	2404
88	232	2384
89	233	2365
90	234	2347
91	236	2330
92	237	2312
93	238	2296
94	239	2280
95	240	2264
96	241	2250
97	243	2239
98	244	2224
99	245	2207
100	246	2191
101	246	2174
102	248	2159
103	249	2145
104	249	2130
105	250	2116
106	251	2102
107	252	2088
108	253	2074
109	254	2062
110	255	2050
111	257	2040
112	258	2029
113	259	2017
114	260	2004
115	261	1991
116	262	1978
117	263	1969
118	264	1958
119	265	1946
120	266	1935
121	267	1922
122	268	1911
123	269	1900
124	270	1892
125	271	1883
126	272	1873
127	273	1864
128	274	1854
129	275	1843
130	276	1833
131	277	1823
132	278	1814
133	279	1804
134	279	1793
135	280	1783
136	281	1773
137	282	1764
138	283	1754
139	284	1745
140	285	1738
141	285	1727
142	287	1721
143	288	1714
144	289	1705
145	290	1696
146	291	1688
147	291	1679
148	292	1671
149	293	1663
150	294	1654
151	295	1646
152	295	1638
153	296	1631
154	297	1623
155	298	1614
156	299	1606
157	300	1598
158	300	1592
159	302	1588
160	303	1580
161	304	1572
162	304	1565
163	305	1558
164	306	1551
165	307	1544
166	308	1536
167	308	1529
168	309	1523
169	310	1515
170	311	1508
171	312	1502
172	312	1495
173	313	1488
174	314	1481
175	315	1475
176	316	1470
177	317	1465
178	318	1460
179	319	1454
180	320	1448
181	320	1442
182	321	1436
183	322	1430
184	323	1424
185	324	1418
186	324	1412
187	325	1406
188	326	1400
189	327	1394
190	327	1388
191	328	1383
192	329	1377
193	330	1372
194	331	1368
195	333	1366
196	334	1362
197	335	1357
198	335	1352
199	336	1347
200	337	1342
201	338	1338
202	339	1333
203	340	1328
204	341	1324
205	342	1319
206	343	1315
207	344	1311
208	345	1307
209	346	1303
210	347	1300
211	348	1296
212	349	1292
213	350	1287
214	351	1283
215	352	1279
216	353	1275
217	354	1271
218	355	1267
219	356	1262
220	357	1258
221	357	1254
222	359	1251
223	360	1249
224	361	1246
225	363	1243
226	364	1240
227	365	1237
228	366	1234
229	367	1231
230	368	1227
231	369	1223
232	370	1220
233	371	1216
234	372	1212
235	373	1210
236	374	1206
237	376	1205
238	379	1207
239	380	1206
240	382	1205
241	384	1205
242	386	1203
243	387	1201
244	389	1199
245	395	1211
246	397	1212
247	398	1209
248	401	1209
249	402	1208
250	409	1222
251	412	1224
252	414	1222
253	415	1221
254	417	1219
255	418	1216
256	419	1213
257	421	1211
258	424	1215
259	427	1216
260	431	1221
261	432	1219
262	434	1216
263	435	1214
264	437	1212
265	439	1211
266	440	1208
267	441	1205
268	442	1202
269	444	1200
270	445	1198
271	446	1196
272	448	1193
273	449	1189
274	450	1187
275	451	1183
276	453	1182
277	455	1182
278	456	1179
279	457	1177
280	458	1174
281	459	1170
282	460	1167
283	461	1163
284	462	1160
285	463	1156
286	464	1153
287	465	1150
288	467	1150
289	470	1152
290	472	1150
291	473	1147
292	474	1145
293	476	1144
294	477	1141
295	478	1139
296	480	1137
297	481	1134
298	482	1131
299	483	1128
300	484	1125
301	485	1123
302	486	1120
303	487	1116
304	488	1113
305	489	1109
306	490	1106
307	491	1103
308	491	1100
309	532	1184
310	534	1184
311	535	1181
312	536	1178
313	538	1175
314	539	1172
315	541	1171
316	542	1168
317	543	1165
318	544	1162
319	545	1160
320	548	1160
321	550	1158
322	551	1155
323	552	1151
324	552	1148
325	553	1145
326	554	1142
327	556	1139
328	556	1135
329	557	1132
330	558	1129
331	559	1126
332	560	1123
333	562	1121
334	563	1118
335	564	1115
336	565	1112
337	566	1109
338	567	1106
339	568	1103
340	569	1100
341	570	1097
342	571	1094
343	572	1091
344	573	1088
345	574	1085
346	575	1083
347	577	1082
348	578	1079
349	579	1076
350	580	1073
351	581	1070
352	582	1067
353	583	1065
354	584	1062
355	585	1059
356	586	1057
357	587	1054
358	588	1051
359	589	1048
360	590	1046
361	591	1043
362	592	1040
363	593	1037
364	594	1034
365	595	1032
366	607	1047
367	608	1045
368	609	1042
369	610	1039
370	611	1036
371	612	1033
372	613	1030
373	614	1028
374	615	1026
375	616	1023
376	617	1021
377	618	1018
378	619	1015
379	621	1013
380	622	1010
381	623	1009
382	624	1006
383	625	1003
384	626	1001
385	627	998
386	628	995
387	629	993
388	630	990
389	631	988
390	632	985
391	634	984
392	635	981
393	636	979
394	638	977
395	640	976
396	641	973
397	642	971
398	643	968
399	643	965
400	644	963
401	645	960
402	646	957
403	647	955
404	648	952
405	649	950
406	650	947
407	651	945
408	652	943
409	654	942
410	655	939
411	656	937
412	657	934
413	658	931
414	659	929
415	660	926
416	661	924
417	662	922
418	663	919
419	664	917
420	665	914
421	666	913
422	668	911
423	669	909
424	670	907
425	671	905
426	672	902
427	673	900
428	674	897
429	675	895
430	676	893
431	677	890
432	678	888
433	679	885
434	679	883
435	680	880
436	682	879
437	684	877
438	685	875
439	686	873
440	687	870
441	687	868
442	688	866
443	692	866
444	693	865
445	694	863
446	698	863
447	699	862
448	700	859
449	701	857
450	702	855
451	703	852
452	704	850
453	705	848
454	707	847
455	708	845
456	709	843
457	711	841
458	713	841
459	715	839
460	716	837
461	717	835
462	718	833
463	719	830
464	720	829
465	723	828
466	724	826
467	726	825
468	728	824
469	730	823
470	731	821
471	732	819
472	733	817
473	734	815
474	735	813
475	736	810
476	737	808
477	738	806
478	739	804
479	742	804
480	745	804
481	747	803
482	748	801
483	749	799
484	750	796
485	751	794
486	752	792
487	753	790
488	754	788
489	755	785
490	758	786
491	760	785
492	761	783
493	762	781
494	763	779
495	764	776
496	765	774
497	766	772
498	767	770
499	768	768
500	769	766
501	770	764
502	772	763
503	774	762
504	776	761
505	777	759
506	778	757
507	779	755
508	780	753
509	781	750
510	782	748
511	783	746
512	784	744
513	789	746
514	790	744
515	791	742
516	792	740
517	793	738
518	794	736
519	795	734
520	796	732
521	797	730
522	798	728
523	799	726
524	800	724
525	802	722
526	803	720
527	804	719
528	805	717
529	806	715
530	807	713
531	808	711
532	809	709
533	810	707
534	811	705
